epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4139,2.13274,6.88449,2.09744,0.97958,0.05397,0.20562,0.10999,1.64326,3.20525,1.66721,0.000234222,0.000234222,0.000234222
2,72.8222,1.6752,4.88901,1.65183,0.51949,0.3549,0.37337,0.21702,1.56954,2.22849,1.50542,0.000462872,0.000462872,0.000462872
3,106.355,1.62989,4.15175,1.5992,0.67362,0.49163,0.527,0.31242,1.53299,1.99045,1.49181,0.000682097,0.000682097,0.000682097
4,138.845,1.5879,3.74812,1.54486,0.65084,0.54184,0.56622,0.33331,1.43,1.72175,1.4612,0.000671588,0.000671588,0.000671588
5,171.98,1.55835,3.58084,1.52065,0.58633,0.58732,0.5785,0.32282,1.51697,1.6983,1.49592,0.000657451,0.000657451,0.000657451
6,204.708,1.51048,3.23294,1.47037,0.71488,0.52554,0.59252,0.33016,1.60279,1.6072,1.56013,0.000643314,0.000643314,0.000643314
7,237.45,1.47825,2.84774,1.43732,0.64966,0.68008,0.68203,0.39766,1.45951,1.28218,1.44959,0.000629177,0.000629177,0.000629177
8,270.236,1.45499,2.61311,1.4465,0.69684,0.66943,0.7003,0.39744,1.47263,1.29932,1.4554,0.00061504,0.00061504,0.00061504
9,307.081,1.41694,3.02669,1.42054,0.68394,0.69806,0.70165,0.42406,1.42259,1.28076,1.40996,0.000600902,0.000600902,0.000600902
10,339.47,1.40264,2.25471,1.40439,0.72071,0.65943,0.65363,0.40106,1.44996,1.40721,1.42781,0.000586765,0.000586765,0.000586765
11,371.842,1.39728,2.14036,1.4089,0.74832,0.64173,0.71248,0.42378,1.45032,1.23171,1.43788,0.000572628,0.000572628,0.000572628
12,404.942,1.37104,1.9479,1.40701,0.73154,0.70332,0.71618,0.42482,1.45745,1.11594,1.44573,0.000558491,0.000558491,0.000558491
13,438.79,1.35102,1.92942,1.37278,0.77375,0.74078,0.73473,0.43151,1.36873,1.19359,1.38647,0.000544354,0.000544354,0.000544354
14,471.642,1.31678,1.84288,1.35334,0.74285,0.68288,0.71108,0.43175,1.40222,1.10145,1.39827,0.000530216,0.000530216,0.000530216
15,503.155,1.31712,1.64688,1.35317,0.84729,0.64857,0.71952,0.43898,1.36347,1.10178,1.38606,0.000516079,0.000516079,0.000516079
16,535.643,1.27865,1.56901,1.31196,0.71061,0.68578,0.6941,0.42284,1.38543,1.12308,1.38987,0.000501942,0.000501942,0.000501942
17,567.542,1.22714,1.77729,1.28567,0.79935,0.68442,0.72096,0.44643,1.39317,1.09368,1.40534,0.000487805,0.000487805,0.000487805
18,599.686,1.25331,1.47264,1.30364,0.70027,0.74999,0.7088,0.42504,1.45783,1.03989,1.44088,0.000473668,0.000473668,0.000473668
19,631.449,1.23303,1.40564,1.30864,0.79437,0.62618,0.69721,0.43645,1.40144,1.05113,1.41097,0.00045953,0.00045953,0.00045953
20,663.08,1.20235,1.34881,1.26152,0.7906,0.6853,0.7233,0.45583,1.37927,1.05958,1.40201,0.000445393,0.000445393,0.000445393
21,694.989,1.20695,1.30735,1.25746,0.76788,0.66884,0.71313,0.4083,1.45453,1.11178,1.44124,0.000431256,0.000431256,0.000431256
22,727.585,1.15896,1.24091,1.23587,0.71262,0.70828,0.69705,0.44938,1.35193,1.02606,1.3878,0.000417119,0.000417119,0.000417119
23,759.893,1.15306,1.22933,1.2533,0.73369,0.64485,0.69484,0.42094,1.39135,1.07963,1.42306,0.000402982,0.000402982,0.000402982
24,791.985,1.14489,1.17861,1.21592,0.84661,0.54527,0.70926,0.40438,1.44664,1.11648,1.45133,0.000388844,0.000388844,0.000388844
25,823.957,1.10365,1.14939,1.20723,0.70131,0.77672,0.7583,0.46313,1.41816,1.09671,1.43071,0.000374707,0.000374707,0.000374707
